target,positive_count,prevalence,prior_loss,logistic_loss,improvement,winner
sphingosine_receptor_agonist,25,0.0010498026371042245,0.008167705546009955,0.0136072094918573,-0.005439503945847345,prior
nitric_oxide_donor,26,0.0010917947425883934,0.008453367200059047,0.013919924324214902,-0.005466557124155854,prior
vitamin_b,26,0.0010917947425883934,0.008453422364276349,0.013946710565696392,-0.005493288201420043,prior
progesterone_receptor_antagonist,18,0.0007558578987150416,0.0061330813861811264,0.011639904666839096,-0.005506823280657969,prior
phospholipase_inhibitor,25,0.0010498026371042245,0.008167705546009955,0.013708008076393625,-0.00554030253038367,prior
antiviral,23,0.0009658184261358865,0.007597903738822337,0.0131483522657115,-0.005550448526889163,prior
monopolar_spindle_1_kinase_inhibitor,18,0.0007558578987150416,0.006133123805398292,0.0117069591436279,-0.0055738353382296085,prior
acat_inhibitor,24,0.0010078105316200555,0.007884088075042654,0.013578370126190727,-0.005694282051148074,prior
beta_amyloid_inhibitor,24,0.0010078105316200555,0.007884110647346995,0.013579009881647905,-0.00569489923430091,prior
adenylyl_cyclase_activator,12,0.0005039052658100278,0.004296440965586189,0.009996714275099744,-0.005700273309513555,prior
pdk_inhibitor,18,0.0007558578987150416,0.006133086305553604,0.011933409959582595,-0.00580032365402899,prior
thrombin_inhibitor,19,0.0007978500041992105,0.006428925175480576,0.012276216680610394,-0.005847291505129818,prior
transient_receptor_potential_channel_antagonist,18,0.0007558578987150416,0.006133118886025815,0.012000476846300715,-0.0058673579602749,prior
5-alpha_reductase_inhibitor,17,0.0007138657932308726,0.005833650318493547,0.011703669355320152,-0.005870019036826605,prior
antimalarial,18,0.0007558578987150416,0.006133123805398293,0.012015357316569657,-0.005882233511171364,prior
cck_receptor_antagonist,18,0.0007558578987150416,0.006133055423328568,0.012023894421995428,-0.005890838998666861,prior
11-beta-hsd1_inhibitor,18,0.0007558578987150416,0.006133081386181128,0.01208147472630832,-0.005948393340127193,prior
caspase_activator,18,0.0007558578987150416,0.006133118886025815,0.012099917562979096,-0.0059667986769532805,prior
protein_tyrosine_kinase_inhibitor,19,0.0007978500041992105,0.006428925175480577,0.012398841380391244,-0.005969916204910666,prior
gonadotropin_receptor_agonist,18,0.0007558578987150416,0.006133123805398292,0.012104056557188577,-0.0059709327517902845,prior
free_radical_scavenger,18,0.0007558578987150416,0.006133086305553604,0.012153581091318432,-0.006020494785764828,prior
nitric_oxide_production_inhibitor,12,0.0005039052658100278,0.004296436047522906,0.010372859719280545,-0.006076423671757639,prior
bacterial_membrane_integrity_inhibitor,7,0.00029394473838918284,0.0026716081594589346,0.008911537884951292,-0.006239929725492357,prior
antifungal,13,0.0005458973712941967,0.004609690691277474,0.010897964547484717,-0.006288273856207243,prior
glutamate_inhibitor,13,0.0005458973712941967,0.004609771783911848,0.010903162966476143,-0.006293391182564295,prior
ras_gtpase_inhibitor,12,0.0005039052658100278,0.004296466921638753,0.010652779893946075,-0.006356312972307322,prior
erbb2_inhibitor,1,4.1992105484168974e-05,0.0014890665105020044,0.007856783904200679,-0.0063677173936986745,prior
atp-sensitive_potassium_channel_antagonist,1,4.1992105484168974e-05,0.0014890973700320386,0.007859935877685544,-0.006370838507653505,prior
aldehyde_dehydrogenase_inhibitor,7,0.00029394473838918284,0.002671596627926875,0.009050573126544406,-0.006378976498617531,prior
anticonvulsant,12,0.0005039052658100278,0.0042964360475229064,0.010708966493142897,-0.00641253044561999,prior
catechol_o_methyltransferase_inhibitor,12,0.0005039052658100278,0.004296478455584005,0.010718740499957566,-0.006422262044373561,prior
analgesic,12,0.0005039052658100278,0.004296526972051765,0.010729009155564425,-0.006432482183512661,prior
antihistamine,12,0.0005039052658100278,0.004296522053988482,0.010755166054000115,-0.006458644000011633,prior
ampk_activator,12,0.0005039052658100278,0.004296504411636569,0.010770734726268459,-0.00647423031463189,prior
monoacylglycerol_lipase_inhibitor,12,0.0005039052658100278,0.004296473537520721,0.010774680525561233,-0.0064782069880405125,prior
lipase_inhibitor,12,0.0005039052658100278,0.004296478455584004,0.010778035657995292,-0.006481557202411288,prior
norepinephrine_reuptake_inhibitor,7,0.00029394473838918284,0.002671565760295313,0.009567590133769656,-0.006896024373474342,prior
atm_kinase_inhibitor,6,0.0002519526329050139,0.0023283330604146973,0.009243262469912496,-0.006914929409497799,prior
protein_phosphatase_inhibitor,6,0.0002519526329050139,0.002328388178291333,0.00925366802461379,-0.006925279846322457,prior
tlr_antagonist,7,0.00029394473838918284,0.002671651748697522,0.00961057297564688,-0.006938921226949358,prior
lxr_agonist,6,0.0002519526329050139,0.002328370540570809,0.009288866189780566,-0.006960495649209757,prior
autotaxin_inhibitor,6,0.0002519526329050139,0.002328333060414697,0.009316227768971756,-0.006987894708557059,prior
calcineurin_inhibitor,6,0.0002519526329050139,0.002328419044302249,0.009323554845169318,-0.006995135800867068,prior
nicotinic_receptor_agonist,6,0.0002519526329050139,0.002328388178291333,0.00932914849397994,-0.007000760315688606,prior
ubiquitin_specific_protease_inhibitor,6,0.0002519526329050139,0.002328393095046118,0.00933067490758053,-0.007002281812534412,prior
leukotriene_inhibitor,6,0.0002519526329050139,0.0023283930950461183,0.009335703324658483,-0.007007310229612365,prior
laxative,6,0.0002519526329050139,0.0023283705405708096,0.009337396420818041,-0.007009025880247231,prior
antiarrhythmic,6,0.0002519526329050139,0.0023283330604146964,0.009338384899460195,-0.0070100518390454995,prior
steroid,6,0.0002519526329050139,0.002328333060414697,0.009343234588154035,-0.007014901527739338,prior
retinoid_receptor_antagonist,6,0.0002519526329050139,0.0023283930950461183,0.009348014972537023,-0.007019621877490905,prior
elastase_inhibitor,6,0.0002519526329050139,0.002328419044302249,0.009353372743768799,-0.007024953699466549,prior
coagulation_factor_inhibitor,6,0.0002519526329050139,0.0023283930950461183,0.009355836472770012,-0.007027443377723893,prior
diuretic,6,0.0002519526329050139,0.0023283705405708096,0.009356403117470546,-0.007028032576899736,prior
tropomyosin_receptor_kinase_inhibitor,6,0.0002519526329050139,0.002328370540570809,0.009370840709930663,-0.007042470169359854,prior
